todo,acceptance_criteria
"Write a function to return all prime numbers from 1 to 100.","All tests must pass."
"Write a function to check if a given number is a palindrome.","All tests must pass."
"Write a function to calculate the factorial of a given number.","All tests must pass."
"Write a function to find the greatest common divisor (GCD) of two numbers.","All tests must pass."
"Write a function to find the least common multiple (LCM) of two numbers.","All tests must pass."
"Write a function to check if a number is a perfect square.","All tests must pass."
"Write a function to generate Fibonacci sequence up to n terms.","All tests must pass."
"Write a function to determine if a number is even or odd.","All tests must pass."
"Write a function to sum the digits of a given number.","All tests must pass."
"Write a function to check if a number is a perfect number.","All tests must pass."
"Write a function to reverse a given string.","All tests must pass."
"Write a function to check if a string is a palindrome.","All tests must pass."
"Write a function to count vowels and consonants in a string.","All tests must pass."
"Write a function to capitalize the first letter of each word in a string.","All tests must pass."
"Write a function to remove duplicate characters from a string.","All tests must pass."
"Write a function to check if two strings are anagrams.","All tests must pass."
"Write a function to count the number of words in a string.","All tests must pass."
"Write a function to replace all spaces in a string with underscores.","All tests must pass."
"Write a function to find the most frequently occurring character in a string.","All tests must pass."
"Write a function to extract numbers from a given string.","All tests must pass."
"Write a function to find the maximum number in an array.","All tests must pass."
"Write a function to find the minimum number in an array.","All tests must pass."
"Write a function to calculate the sum of all elements in an array.","All tests must pass."
"Write a function to remove duplicate values from an array.","All tests must pass."
"Write a function to merge two sorted arrays.","All tests must pass."
"Write a function to find the second largest number in an array.","All tests must pass."
"Write a function to rotate an array to the left by n positions.","All tests must pass."
"Write a function to rotate an array to the right by n positions.","All tests must pass."
"Write a function to reverse the order of elements in an array.","All tests must pass."
"Write a function to count occurrences of a specific element in an array.","All tests must pass."
"Write a function to return the current date in YYYY-MM-DD format.","All tests must pass."
"Write a function to return the current time in HH:MM:SS format.","All tests must pass."
"Write a function to calculate the number of days between two dates.","All tests must pass."
"Write a function to add n days to a given date.","All tests must pass."
"Write a function to subtract n days from a given date.","All tests must pass."
"Write a function to determine if a given year is a leap year.","All tests must pass."
"Write a function to convert a timestamp into a human-readable date.","All tests must pass."
"Write a function to return the name of the day for a given date.","All tests must pass."
"Write a function to determine the number of weekends in a given month.","All tests must pass."
"Write a function to calculate the difference in time between two timestamps.","All tests must pass."
"Write a function to generate a random integer within a given range.","All tests must pass."
"Write a function to shuffle the elements of an array.","All tests must pass."
"Write a function to convert Celsius to Fahrenheit.","All tests must pass."
"Write a function to convert Fahrenheit to Celsius.","All tests must pass."
"Write a function to validate an email address format.","All tests must pass."
"Write a function to generate a UUID (Universally Unique Identifier) without a library.","All tests must pass."
"Write a function to find the largest file in a directory.","All tests must pass."
"Write a function to determine if a file exists.","All tests must pass."
"Write a function to read the contents of a text file.","All tests must pass."
"Write a function to write a string to a text file.","All tests must pass."
"Write a function to return all prime numbers from 1 to 100.","All tests must pass."
"Write a function to check if a given number is a palindrome.","All tests must pass."
"Write a function to calculate the factorial of a given number.","All tests must pass."
"Write a function to find the greatest common divisor (GCD) of two numbers.","All tests must pass."
"Write a function to find the least common multiple (LCM) of two numbers.","All tests must pass."
"Write a function to check if a number is a perfect square.","All tests must pass."
"Write a function to generate Fibonacci sequence up to n terms.","All tests must pass."
"Write a function to determine if a number is even or odd.","All tests must pass."
"Write a function to sum the digits of a given number.","All tests must pass."
"Write a function to check if a number is a perfect number.","All tests must pass."
"Write a function to reverse a given string.","All tests must pass."
"Write a function to check if a string is a palindrome.","All tests must pass."
"Write a function to count vowels and consonants in a string.","All tests must pass."
"Write a function to capitalize the first letter of each word in a string.","All tests must pass."
"Write a function to remove duplicate characters from a string.","All tests must pass."
"Write a function to check if two strings are anagrams.","All tests must pass."
"Write a function to count the number of words in a string.","All tests must pass."
"Write a function to replace all spaces in a string with underscores.","All tests must pass."
"Write a function to find the most frequently occurring character in a string.","All tests must pass."
"Write a function to extract numbers from a given string.","All tests must pass."
"Write a function to find the maximum number in an array.","All tests must pass."
"Write a function to find the minimum number in an array.","All tests must pass."
"Write a function to calculate the sum of all elements in an array.","All tests must pass."
"Write a function to remove duplicate values from an array.","All tests must pass."
"Write a function to merge two sorted arrays.","All tests must pass."
"Write a function to find the second largest number in an array.","All tests must pass."
"Write a function to rotate an array to the left by n positions.","All tests must pass."
"Write a function to rotate an array to the right by n positions.","All tests must pass."
"Write a function to reverse the order of elements in an array.","All tests must pass."
"Write a function to count occurrences of a specific element in an array.","All tests must pass."
"Write a function to return the current date in YYYY-MM-DD format.","All tests must pass."
"Write a function to return the current time in HH\:MM\:SS format.","All tests must pass."
"Write a function to calculate the number of days between two dates.","All tests must pass."
"Write a function to add n days to a given date.","All tests must pass."
"Write a function to subtract n days from a given date.","All tests must pass."
"Write a function to determine if a given year is a leap year.","All tests must pass."
"Write a function to convert a timestamp into a human-readable date.","All tests must pass."
"Write a function to return the name of the day for a given date.","All tests must pass."
"Write a function to determine the number of weekends in a given month.","All tests must pass."
"Write a function to calculate the difference in time between two timestamps.","All tests must pass."
"Write a function to generate a random integer within a given range.","All tests must pass."
"Write a function to shuffle the elements of an array.","All tests must pass."
"Write a function to convert Celsius to Fahrenheit.","All tests must pass."
