todo,acceptance_criteria
"Create a function called `calculate_sum` that takes in a list of integers as its parameter (`my_list`). The function should return the sum of all numbers in the list, where each number is multiplied by its index before being added to the sum.",All tests must pass. The function must take a list of integers as input. The implementation must multiply each number by its corresponding index. The function must handle lists of varying lengths. Invalid inputs (non-list) should return an error.
Write a function that takes an array of numbers as input and returns a new array with all the even numbers multiplied by 2.,All tests must pass. The function must return a new array without modifying the original array. Only even numbers should be multiplied by 2. The function must work with arrays of any length. The time complexity must be O(n).
"Write a function to find the maximum sum subarray within an array of integers, which may include elements from the beginning, middle, or end of the array.",All tests must pass. The function must handle arrays with negative numbers. The function must return the maximum sum of any contiguous subarray. The implementation must work with arrays of varying lengths. The time complexity must be O(n).
Implement the Kadane's algorithm to find the maximum subarray sum in a given array of integers.,All tests must pass. The function must have a time complexity of O(n). The algorithm must find the maximum sum subarray using Kadane's method. It must work with arrays containing negative numbers.
"Create a function called `is_palindrome` that takes a string as input and returns a boolean indicating whether the input string is a palindrome, ignoring spaces, punctuation, and capitalization.","All tests must pass. The function must ignore spaces, punctuation, and capitalization when checking for palindromes. The function must return a boolean value. It must handle strings of varying lengths, including empty strings."
"Write a function called `find_pairs_sum_to_target` that takes a list of numbers and a target number, and returns a list of unique pairs whose sum equals the target number.",All tests must pass. The function must return all unique pairs that sum to the target number. Input list will contain only positive integers. The function must handle lists of varying lengths. Duplicate pairs must not be included in the result.
Write a function that takes an integer `n` and determines if the sum of its digits is a palindrome number.,All tests must pass. The function must calculate the sum of the digits of the input integer. The function must check if the digit sum is a palindrome number. It must handle integers of varying lengths. The function must work with positive integers.
Create a function called `create_mountain_range` that generates a list of mountain range objects with specified number of peaks.,"All tests must pass. The function must generate at least 5 peaks. Each peak height must be between 100 and 1000. The mountain range must include attributes for peaks, average height, highest peak, and lowest peak. The implementation must work for various input values."
Write a program that generates all possible unique permutations of a given string.,All tests must pass. The function must return a list of all unique permutations of the input string. Permutations must be unique. The function must handle strings of varying lengths. The implementation should use recursion or backtracking.
Write a function that takes a positive integer and returns its prime factors sorted in ascending order.,"All tests must pass. The function must return an empty list for negative or zero inputs. For input 1, return [1]. The prime factors must be sorted in ascending order. The function must handle integers of varying sizes. Prime factorization must be complete and accurate."
"Write a function that performs depth-first traversals of a binary tree: in-order (left -> root -> right), pre-order (root -> left -> right), and post-order (left -> right -> root) for a given binary tree with Node class attributes: value, left, and right","All tests must pass. The function must handle binary tree traversals: in-order, pre-order, and post-order. Return a list of node values based on the specified traversal order. If the input tree is empty, return an empty list. Must use Node class with value, left, and right attributes."
Determine if a list of integers can be split into two sublists such that the sum of elements in each sublist is the same,"All tests must pass. The function must return true if the list can be split into two sublists with equal sums, and false otherwise. Must solve the problem in linear time complexity. Must handle lists of varying lengths and number compositions."
Find the longest palindromic substring in a given string,All tests must pass. Input is a string. Output must be the longest palindromic substring. Must handle strings of varying lengths. Consider both odd and even length palindromes. Ensure efficient substring identification and comparison.
Write a function to find the highest and lowest numbers in an input array,"All tests must pass. Function must return an array with the minimum and maximum values. Must handle arrays of any length, including empty arrays. Must work with arrays containing positive and negative integers."
"Implement a function to reverse a string, handling single and multi-word inputs with special characters","All tests must pass. Must reverse entire string, including words with special characters and numbers. Preserve original character types and positions when reversing. Handle strings of varying complexity."
Implement a function that determines if a given string is a valid word according to a set of rules. Create a Queue class using a list and implement an is_word_valid function that takes a word and rules as input and returns True or False based on specific conditions.,"All tests must pass. The function should take a string word and a set of rules as input. Rules are in the format 'ruleN: character1, character2, ...'. A word is valid if it contains all characters from at least one rule. A word can only contain each character at most once. The implementation must use a Queue class with a list as its underlying data structure."
Write a function that accepts a set of integers and returns the sum of all perfect squares that can be formed from the integers in the set.,"All tests must pass. The function must handle a set of positive integers. The input set size will be at most 20. The function should return the sum of perfect squares (1, 4, 9, 16, 25) that can be formed from the input set."
